address,lat,lng,point_name,city,state,KFC,Pizza Hut,7 Eleven Malaysia Sdn Bhd,Dominos,Starbucks,Kenny Rogers Roasters,Nandos,MarryBrown,Dommal Food Services Sdn Bhd,Mynews Retail Sdn Bhd,Restaurants,Property Management,Consultants,Legal,Barber & Beauty Salons,General,Clothing,Travel & Tourism,Others,Accomodation,tmn_name_1,tmn_lat_1,tmn_lng_1,tmn_majority_tenure_1,tmn_majority_type_1,tmn_median_price_1,tmn_name_2,tmn_lat_2,tmn_lng_2,tmn_majority_tenure_2,tmn_majority_type_2,tmn_median_price_2,tmn_name_3,tmn_lat_3,tmn_lng_3,tmn_majority_tenure_3,tmn_majority_type_3,tmn_median_price_3,tmn_fb_total_pop_1,tmn_fb_male_pop_1,tmn_fb_female_pop_1,tmn_fb_female_reproductive_pop_1,tmn_fb_youth_pop_1,tmn_fb_elder_pop_1,tmn_fb_child_pop_1,tmn_fb_total_pop_2,tmn_fb_male_pop_2,tmn_fb_female_pop_2,tmn_fb_female_reproductive_pop_2,tmn_fb_youth_pop_2,tmn_fb_elder_pop_2,tmn_fb_child_pop_2,tmn_fb_total_pop_3,tmn_fb_male_pop_3,tmn_fb_female_pop_3,tmn_fb_female_reproductive_pop_3,tmn_fb_youth_pop_3,tmn_fb_elder_pop_3,tmn_fb_child_pop_3,tmn_rwi_1,tmn_rwi_2,tmn_rwi_3,C_KFC,C_MarryBrown,C_Burger King,point_name2,point_name3
"McDonalds, 120-120A Jalan Bukit Bintang, 55100, Kuala Lumpur, Malaysia ",3.1467117,101.7108853,McDonalds,KUALA LUMPUR,KUALA LUMPUR,1,1,1,1,1,1,1,1,1,1,493,406,456,376,232,263,403,439,134,334,"JALAN BEDARA, KL CITY CENTRE, KUALA LUMPUR",3.148303,101.7098673,FREEHOLD,APARTMENT,535000.0,"JALAN BERANGAN, KL CITY CENTRE, KUALA LUMPUR",3.147642,101.7090574,FREEHOLD,FLAT,402500.0,"JALAN ALOR, KL CITY CENTRE, KUALA LUMPUR",3.1459204,101.7089731,FREEHOLD,FLAT,450000.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,1.591,1.591,1.591,1,1,0,Starbucks,Centra Hotel & Apartments
"McDonalds, 55 & 57, Jalan Tun Tan Siew Sin, 50050, Kuala Lumpur, Malaysia ",3.1459723,101.698404,McDonalds,KUALA LUMPUR,KUALA LUMPUR,1,1,1,1,1,1,1,1,1,1,461,336,386,329,237,232,406,405,154,360,"MUN NANG MANSION, KL CITY CENTRE, KUALA LUMPUR",3.1480781,101.6970821,FREEHOLD,FLAT,70000.0,"CORINTHIAN, KL CITY CENTRE, KUALA LUMPUR",3.146642,101.6958449,FREEHOLD,CONDOMINIUM,1000000.0,"KOMPLEK NAGARIA (PLAZA BERJAYA), KL CITY CENTRE, KUALA LUMPUR",3.146642,101.6958449,FREEHOLD,CONDOMINIUM,823500.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,1.591,1.591,1.591,1,1,0,Rds Management Travel And Tours (M) Sdn Bhd,McDonald's
"McDonalds, Lorong 8, Holiday Plaza, Jalan Dato' Sulaiman, 80400, Johor Bahru, Johor, Malaysia ",1.4884483,103.7590886,McDonalds,JOHOR BAHARU,JOHOR,1,1,1,1,0,0,1,1,0,0,141,76,67,75,222,57,48,51,90,51,"KEBUN TEH, JOHOR BAHRU, JOHOR",1.488997,103.7555431,FREEHOLD,BUNGALOW,1750000.0,"TAMAN MELODIES, JOHOR BAHRU, JOHOR",1.492145,103.7599981,FREEHOLD,BUNGALOW,605000.0,"TAMAN CENTURY, JOHOR BAHRU, JOHOR",1.4864086,103.7625074,FREEHOLD,TERRACEHOUSE,470000.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,1.088,1.088,1.088,1,1,0,Mirror Creative,Color Bar Hair Gallery
"McDonalds, 48, Jalan Telawi Lima, 59100, Bangsar Baru, Bangsar, Kuala Lumpur, Malaysia ",3.1329700000000003,101.6722699,McDonalds,KUALA LUMPUR,KUALA LUMPUR,1,0,1,1,1,1,1,0,1,1,209,135,202,154,110,81,133,77,96,64,"BANGSAR BARU, BANGSAR, KUALA LUMPUR",3.132896,101.6714351,FREEHOLD,TERRACEHOUSE,1760000.0,"BANGSAR PARK, BANGSAR, KUALA LUMPUR",3.133456,101.6743219,FREEHOLD,TERRACEHOUSE,1525000.0,"THE ENCLAVE, BANGSAR, KUALA LUMPUR",3.1296205,101.6698299,FREEHOLD,BUNGALOW,11000000.0,3125.0,1446.0,1489.0,954.0,641.0,207.0,220.0,3125.0,1446.0,1489.0,954.0,641.0,207.0,220.0,3125.0,1446.0,1489.0,954.0,641.0,207.0,220.0,1.14,1.14,1.14,1,0,0,Standard Chartered Bank Malaysia Berhad,Olympik Holidays Sdn Bhd
"McDonalds, No. 56 Jalan SS 2/61, 47300, Petaling Jaya, Selangor, Malaysia ",3.1182753,101.6204154,McDonalds,KUALA LUMPUR,KUALA LUMPUR,1,1,1,1,1,1,1,0,1,1,206,128,203,119,82,90,48,30,63,10,"SS 2 PETALING JAYA, PETALING JAYA, SELANGOR",3.12026,101.6222681,FREEHOLD,TERRACEHOUSE,980000.0,"IXORA RESIDENCE, PETALING JAYA, SELANGOR",3.1209,101.61637,LEASEHOLD,TOWNHOUSE,830000.0,"SEA PARK APARTMENT, PETALING JAYA, SELANGOR",3.112444,101.622308,FREEHOLD,APARTMENT,388000.0,2681.0,1173.0,1113.0,699.0,422.0,132.0,194.0,2681.0,1173.0,1113.0,699.0,422.0,132.0,194.0,2681.0,1173.0,1113.0,699.0,422.0,132.0,194.0,0.799,0.799,1.21,1,0,0,Skl D I Y Sdn Bhd,McDonald's
"McDonalds, No. 1 & 2 Jalan 54, Desa Jaya, 52100, Kepong, Selangor, Malaysia ",3.2135639,101.6328035,McDonalds,GOMBAK,SELANGOR,1,1,1,1,1,1,0,1,1,1,121,114,65,22,70,122,41,16,98,8,"TAMAN BUKIT DESA JAYA, KEPONG, SELANGOR",3.2135884,101.6326186,FREEHOLD,TERRACEHOUSE,512500.0,"MUTIARA FADASON, JINJANG, KUALA LUMPUR",3.2117187,101.6322692,LEASEHOLD,FLAT,110000.0,"TAMAN BATU, KEPONG, SELANGOR",3.2117187,101.6322692,FREEHOLD,TERRACE HOUSE,450000.0,3104.0,1514.0,1410.0,865.0,504.0,212.0,198.0,3104.0,1514.0,1410.0,865.0,504.0,212.0,198.0,3104.0,1514.0,1410.0,865.0,504.0,212.0,198.0,0.944,0.944,0.944,1,1,0,NGN Connection Sdn Bhd,McDonald's
"McDonalds, LG 10 Subang Parade, No. 5 Jalan SS 16/1, 47500, Subang Jaya, Selangor, Malaysia ",3.081789,101.5852899,McDonalds,PETALING,SELANGOR,1,1,1,1,1,1,1,0,1,1,113,80,101,54,52,52,51,20,47,24,"SAUJANA RESIDENCY, SUBANG JAYA, SELANGOR",3.0827739,101.5845191,FREEHOLD,SERVICERESIDENCE,990000.0,"EMPIRE SUBANG, SUBANG JAYA, SELANGOR",3.0819468,101.5827633,FREEHOLD,SERVICE RESIDENCE,225800.0,"ISOLA, SUBANG JAYA, SELANGOR",3.0813384,101.5817038,FREEHOLD,SERVICE RESIDENCE,1020000.0,2508.0,1077.0,1066.0,700.0,518.0,105.0,154.0,2508.0,1077.0,1066.0,700.0,518.0,105.0,154.0,2508.0,1077.0,1066.0,700.0,518.0,105.0,154.0,0.808,0.808,0.808,1,0,0,Huawei Experience Store Subang Parade,Pearleszense Bodyline Sdn Bhd
"McDonalds, Lot 8, Section 85, Jalan Pahang, 53000, Setapak, Kuala Lumpur, Malaysia ",3.1795857000000005,101.7003285,McDonalds,KUALA LUMPUR,KUALA LUMPUR,1,1,0,0,1,1,1,0,1,1,106,107,110,90,28,95,42,51,38,79,"PERUMAHAN AWAM SRI PERAK, SENTUL, KUALA LUMPUR",3.1819361,101.6991297,LEASEHOLD,FLAT,25900.0,"SERI TITIWANGSA CONDOMINIUM, TITIWANGSA, KUALA LUMPUR",3.182874,101.7027601,FREEHOLD,CONDOMINIUM,750000.0,"BANDAR BARU SENTUL, SENTUL, KUALA LUMPUR",3.182944,101.6976809,LEASEHOLD,APARTMENT,140000.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,3039.0,1490.0,1378.0,883.0,520.0,157.0,236.0,1.287,1.287,1.287,1,0,0,Gerbang Alaf Restaurants Sdn. Bhd.,Yong Jeng Air-Cond & Refrigeration (M) Sdn Bhd
"McDonalds, Lot 2506/7, Section 6, Jalan Masjid Negeri, 11600, Penang, Pulau Pinang, Malaysia ",5.4011998,100.3042984,McDonalds,TIMUR LAUT,PULAU PINANG,1,1,1,0,0,0,0,0,1,0,34,57,22,15,63,26,7,10,21,9,"JALAN THORPE, AYER ITAM, PENANG",5.401333599999999,100.302649,FREEHOLD,SEMI-D,1750000.0,"HALAMAN FREE SCHOOL, JELUTONG, PENANG",5.401305799999999,100.306229,FREEHOLD,SEMI-D,1765000.0,"JALAN HARGREAVES, JELUTONG, PENANG",5.4006611,100.3072325,FREEHOLD,SEMI-D,3200000.0,3129.0,1407.0,1470.0,833.0,483.0,337.0,171.0,3129.0,1407.0,1470.0,833.0,483.0,337.0,171.0,3129.0,1407.0,1470.0,833.0,483.0,337.0,171.0,1.112,1.4,1.4,1,0,0,Trinity Methodist Church Kindergarten,JT BUILDING MANAGEMENT
"McDonalds, Lot 1.19, Plaza Pelangi, Jalan Tebrau/Jalan Kuning, 80400, Johor Bahru, Johor, Malaysia ",1.4804286,103.765172,McDonalds,JOHOR BAHARU,JOHOR,1,1,1,1,1,0,1,1,0,0,152,85,68,82,222,54,43,56,85,60,"TAMAN MAJU JAYA, JOHOR BAHRU, JOHOR",1.48079,103.7648131,FREEHOLD,TERRACEHOUSE,600000.0,"TAMAN MAJU JAYA, BAKRI, JOHOR",1.4816828000000002,103.7651,FREEHOLD,TERRACEHOUSE,250000.0,"TAMAN MAJU JAYA BAHARU, RENGIT, JOHOR",1.4821653,103.7655804,FREEHOLD,TERRACEHOUSE,60000.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,1.088,1.088,1.088,1,1,0,Maxis Centre (Shining Telecomunication- Taman Pelangi),Cold Storage
